Shape name,Data name
Adams,Adams Elementary School
Alki,Alki Elementary School
Arbor Heights,Arbor Heights Elementary School
B.F. Day,B F Day Elementary School
Bagley,Daniel Bagley Elementary School
Beacon Hill Int'l,Beacon Hill International School
Broadview-Thomson K-8,Broadview-Thomson K-8 School
Bryant,Bryant Elementary School
Catharine Blaine K-8,Catharine Blaine K-8 School
Coe,Frantz Coe Elementary School
Concord Int'l,Concord International School
Dearborn Park Int'l,Dearborn Park International School
Dunlap,Dunlap Elementary School
Emerson,Emerson Elementary School
Fairmount Park,Fairmount Park Elementary School
Gatewood,Gatewood Elementary School
Gatzert,Bailey Gatzert Elementary School
Graham Hill,Graham Hill Elementary School
Green Lake,Green Lake Elementary School
Greenwood,Greenwood Elementary School
Hawthorne,Hawthorne Elementary School - Seattle
Hay,John Hay Elementary School
Highland Park,Highland Park Elementary School
John Muir,John Muir Elementary School
John Rogers,John Rogers Elementary School
Kimball,Kimball Elementary School
Lafayette,Lafayette Elementary School
Laurelhurst,Laurelhurst Elementary School
Lawton,Lawton Elementary School
Leschi,Leschi Elementary School
Lowell,Lowell Elementary School - Seattle
Loyal Heights,Loyal Heights Elementary School
Madrona K-8,Madrona K-8 School
Maple,Maple Elementary School
McGilvra,McGilvra Elementary School
MLK Jr.,Martin Luther King Jr. Elementary School
Montlake,Montlake Elementary School
North Beach,North Beach Elementary School
Northgate,Northgate Elementary School
Olympic Hills,Olympic Hills Elementary School
Olympic View,Olympic View Elementary School
Rainier View,Rainier View Elementary School
Roxhill,Roxhill Elementary School
Sacajawea,Sacajawea Elementary School
Sand Point,Sand Point Elementary
Sanislo,Sanislo Elementary School
Schmitz Park,Schmitz Park Elementary School
Stevens,Stevens Elementary School
Thurgood Marshall,Thurgood Marshall Elementary
Van Asselt,Van Asselt Elementary School
View Ridge,View Ridge Elementary School
Viewlands,Viewlands Elementary School
Wedgwood,Wedgwood Elementary School
West Seattle Elem,West Seattle Elementary School
West Woodland,West Woodland Elementary School
Whittier,Whittier Elementary School
Wing Luke,Wing Luke Elementary School
